,Feature A,Feature B,H-stat,H (boot mean),H 95% CI (boot),Interpretazione,Spearman ρ,p(ρ),Grid A (min–max),Grid B (min–max),N usati PDP,N totale subset
1,MSE AP,Gait Speed,0.242,0.235,"[0.196, 0.272]",Moderata,0.12,0.3353287914100974,1.03–1.63,0.52–1.29,66,66
2,MSE V,Age,0.19,0.187,"[0.155, 0.216]",Moderata,0.148,0.2346322255326139,1.19–1.77,59.00–82.00,66,66
3,MSE V,Gait Speed,0.163,0.158,"[0.130, 0.189]",Moderata,0.071,0.5701787339271418,1.19–1.77,0.52–1.29,66,66
4,MSE ML,Weigth,0.14,0.135,"[0.108, 0.164]",Debole,-0.004,0.9742134446139494,1.14–2.25,56.50–164.00,66,66
5,Weigth,Gait Speed,0.138,0.143,"[0.116, 0.175]",Debole,-0.273,0.026430093082323674,56.50–164.00,0.52–1.29,66,66
6,MSE ML,iHR V,0.128,0.126,"[0.077, 0.157]",Debole,0.027,0.8292438870570014,1.14–2.25,41.16–80.74,66,66
7,MSE V,MSE AP,0.123,0.121,"[0.098, 0.166]",Debole,0.368,0.002347083894813626,1.19–1.77,1.03–1.63,66,66
8,iHR V,Age,0.118,0.128,"[0.103, 0.160]",Debole,0.053,0.672200612634042,41.16–80.74,59.00–82.00,66,66
9,iHR V,Weigth,0.114,0.13,"[0.106, 0.163]",Debole,-0.289,0.0187489193108911,41.16–80.74,56.50–164.00,66,66
10,Weigth,Duration (years),0.112,0.123,"[0.099, 0.148]",Debole,0.124,0.3221232763427042,56.50–164.00,0.69–2.89,66,66
11,iHR V,MSE AP,0.107,0.109,"[0.080, 0.122]",Debole,-0.154,0.2157638809058278,41.16–80.74,1.03–1.63,66,66
12,iHR V,MSE V,0.098,0.098,"[0.079, 0.119]",Debole,-0.126,0.3127591279096259,41.16–80.74,1.19–1.77,66,66
13,Weigth,Age,0.09,0.111,"[0.091, 0.130]",Debole,0.011,0.9307976220525541,56.50–164.00,59.00–82.00,66,66
14,MSE AP,Age,0.088,0.093,"[0.074, 0.113]",Debole,-0.075,0.5469065213600833,1.03–1.63,59.00–82.00,66,66
15,MSE ML,Age,0.079,0.082,"[0.065, 0.094]",Debole,0.064,0.610613328364966,1.14–2.25,59.00–82.00,66,66
16,iHR V,Gait Speed,0.077,0.078,"[0.064, 0.096]",Debole,0.519,7.98357515888343e-06,41.16–80.74,0.52–1.29,66,66
17,MSE V,H-Y,0.076,0.077,"[0.065, 0.091]",Debole,0.104,0.40392295956748536,1.19–1.77,1.00–4.00,66,66
18,MSE AP,Duration (years),0.072,0.075,"[0.058, 0.104]",Debole,-0.027,0.8318162568858156,1.03–1.63,0.69–2.89,66,66
19,MSE V,Duration (years),0.07,0.076,"[0.056, 0.101]",Debole,0.033,0.7907427510767395,1.19–1.77,0.69–2.89,66,66
20,MSE ML,MSE V,0.069,0.071,"[0.049, 0.104]",Debole,0.456,0.00011763469999848477,1.14–2.25,1.19–1.77,66,66
21,iHR V,Duration (years),0.068,0.066,"[0.049, 0.076]",Debole,-0.305,0.012624726646780465,41.16–80.74,0.69–2.89,66,66
22,MSE V,Weigth,0.065,0.071,"[0.062, 0.081]",Debole,0.167,0.1794733975585946,1.19–1.77,56.50–164.00,66,66
23,MSE ML,Gait Speed,0.064,0.067,"[0.057, 0.088]",Debole,0.05,0.691347291156855,1.14–2.25,0.52–1.29,66,66
24,MSE ML,Duration (years),0.059,0.061,"[0.046, 0.081]",Debole,-0.01,0.9347791560291296,1.14–2.25,0.69–2.89,66,66
25,iHR V,H-Y,0.057,0.059,"[0.049, 0.076]",Debole,-0.347,0.004271013273065471,41.16–80.74,1.00–4.00,66,66
26,MSE AP,Weigth,0.057,0.061,"[0.051, 0.077]",Debole,0.19,0.12567368612630683,1.03–1.63,56.50–164.00,66,66
27,MSE ML,MSE AP,0.037,0.042,"[0.035, 0.053]",Debole,0.549,1.851624729029242e-06,1.14–2.25,1.03–1.63,66,66
28,MSE AP,H-Y,0.032,0.035,"[0.026, 0.050]",Debole,0.071,0.5691595618200738,1.03–1.63,1.00–4.00,66,66
29,MSE ML,H-Y,0.028,0.027,"[0.021, 0.032]",Debole,0.022,0.8584314224096891,1.14–2.25,1.00–4.00,66,66
30,Weigth,H-Y,0.026,0.03,"[0.026, 0.035]",Debole,0.524,6.473118527325872e-06,56.50–164.00,1.00–4.00,66,66
