,Feature A,Feature B,H-stat,H (boot mean),H 95% CI (boot),Interpretazione,Spearman ρ,p(ρ),Grid A (min–max),Grid B (min–max),N usati PDP,N totale subset
1,MSE V,Weigth,0.247,0.246,"[0.203, 0.279]",Moderata,-0.001,0.9932991808731845,1.18–1.79,62.00–180.00,135,135
2,Weigth,Duration (years),0.21,0.203,"[0.155, 0.242]",Moderata,-0.138,0.11151121635191026,62.00–180.00,1.10–3.30,135,135
3,Weigth,Age,0.204,0.195,"[0.158, 0.235]",Moderata,-0.125,0.15020108406870233,62.00–180.00,59.70–82.00,135,135
4,iHR V,MSE AP,0.19,0.19,"[0.141, 0.240]",Moderata,-0.088,0.3090690123136714,44.97–81.33,1.09–1.75,135,135
5,MSE AP,H-Y,0.178,0.179,"[0.153, 0.215]",Moderata,0.134,0.12120225657662079,1.09–1.75,3.00–4.00,135,135
6,MSE ML,Weigth,0.144,0.142,"[0.120, 0.166]",Debole,0.026,0.7643532022908037,1.17–2.24,62.00–180.00,135,135
7,MSE AP,Duration (years),0.138,0.15,"[0.122, 0.174]",Debole,0.14,0.10615735422791808,1.09–1.75,1.10–3.30,135,135
8,MSE V,Age,0.132,0.137,"[0.114, 0.159]",Debole,-0.131,0.12861296366936636,1.18–1.79,59.70–82.00,135,135
9,MSE V,H-Y,0.13,0.136,"[0.117, 0.157]",Debole,0.015,0.8598198427271263,1.18–1.79,3.00–4.00,135,135
10,MSE ML,MSE V,0.128,0.126,"[0.095, 0.153]",Debole,0.495,1.0696040319234338e-09,1.17–2.24,1.18–1.79,135,135
11,iHR V,Duration (years),0.117,0.116,"[0.096, 0.132]",Debole,0.049,0.5711791308308589,44.97–81.33,1.10–3.30,135,135
12,MSE AP,Weigth,0.11,0.117,"[0.095, 0.145]",Debole,-0.024,0.7857391216241556,1.09–1.75,62.00–180.00,135,135
13,iHR V,MSE V,0.106,0.11,"[0.094, 0.139]",Debole,0.062,0.47699492889005846,44.97–81.33,1.18–1.79,135,135
14,MSE AP,Age,0.106,0.113,"[0.096, 0.129]",Debole,-0.064,0.4620167712675197,1.09–1.75,59.70–82.00,135,135
15,Weigth,Gait Speed,0.105,0.113,"[0.095, 0.131]",Debole,-0.188,0.029292424673780973,62.00–180.00,0.50–1.23,135,135
16,MSE ML,Duration (years),0.098,0.092,"[0.055, 0.110]",Debole,0.181,0.03552553592943933,1.17–2.24,1.10–3.30,135,135
17,MSE ML,iHR V,0.096,0.095,"[0.083, 0.113]",Debole,0.205,0.017079152264297938,1.17–2.24,44.97–81.33,135,135
18,iHR V,Weigth,0.092,0.101,"[0.075, 0.129]",Debole,-0.01,0.9038199316800779,44.97–81.33,62.00–180.00,135,135
19,MSE ML,MSE AP,0.092,0.09,"[0.048, 0.138]",Debole,0.436,1.2196271469047718e-07,1.17–2.24,1.09–1.75,135,135
20,MSE ML,Age,0.089,0.104,"[0.088, 0.122]",Debole,-0.039,0.6533317577604911,1.17–2.24,59.70–82.00,135,135
21,iHR V,H-Y,0.088,0.081,"[0.065, 0.102]",Debole,-0.029,0.7349556261651915,44.97–81.33,3.00–4.00,135,135
22,MSE AP,Gait Speed,0.084,0.087,"[0.076, 0.102]",Debole,0.096,0.2703167081102114,1.09–1.75,0.50–1.23,135,135
23,MSE V,Duration (years),0.076,0.078,"[0.066, 0.095]",Debole,0.121,0.16048176920544974,1.18–1.79,1.10–3.30,135,135
24,MSE V,MSE AP,0.07,0.075,"[0.048, 0.105]",Debole,0.32,0.00015322009684859948,1.18–1.79,1.09–1.75,135,135
25,MSE ML,H-Y,0.065,0.068,"[0.061, 0.078]",Debole,-0.038,0.664080630719865,1.17–2.24,3.00–4.00,135,135
26,MSE V,Gait Speed,0.06,0.06,"[0.049, 0.080]",Debole,0.082,0.34664788243185296,1.18–1.79,0.50–1.23,135,135
27,MSE ML,Gait Speed,0.059,0.06,"[0.052, 0.067]",Debole,0.076,0.3830505338000446,1.17–2.24,0.50–1.23,135,135
28,iHR V,Gait Speed,0.055,0.059,"[0.047, 0.070]",Debole,0.335,7.149847740182696e-05,44.97–81.33,0.50–1.23,135,135
29,Weigth,H-Y,0.043,0.044,"[0.031, 0.062]",Debole,-0.041,0.6338817442794245,62.00–180.00,3.00–4.00,135,135
30,iHR V,Age,0.042,0.044,"[0.039, 0.050]",Debole,-0.058,0.5030264976889213,44.97–81.33,59.70–82.00,135,135
