,Feature A,Feature B,H-stat,H (boot mean),H 95% CI (boot),Interpretazione,Spearman ρ,p(ρ),Grid A (min–max),Grid B (min–max),N usati PDP,N totale subset
1,iHR V,Duration (years),0.235,0.235,"[0.217, 0.257]",Moderata,0.034,0.7716532407785127,49.73–86.18,0.69–2.81,76,76
2,iHR V,MSE AP,0.168,0.174,"[0.117, 0.223]",Moderata,0.035,0.7637463914179417,49.73–86.18,1.04–1.72,76,76
3,MSE AP,Weigth,0.132,0.14,"[0.111, 0.182]",Debole,0.004,0.9733270998273633,1.04–1.72,56.50–122.00,76,76
4,MSE V,Age,0.116,0.114,"[0.082, 0.168]",Debole,0.181,0.11799509378635055,1.18–1.75,56.50–82.25,76,76
5,Weigth,Gait Speed,0.113,0.107,"[0.075, 0.141]",Debole,-0.157,0.17480919580689805,56.50–122.00,0.76–1.42,76,76
6,MSE ML,Weigth,0.108,0.095,"[0.059, 0.130]",Debole,-0.091,0.4335376318902716,1.21–2.29,56.50–122.00,76,76
7,iHR V,Gait Speed,0.097,0.1,"[0.068, 0.123]",Debole,0.466,2.1777626280569205e-05,49.73–86.18,0.76–1.42,76,76
8,MSE ML,Duration (years),0.095,0.09,"[0.072, 0.114]",Debole,0.021,0.8587281388191339,1.21–2.29,0.69–2.81,76,76
9,MSE AP,H-Y,0.095,0.101,"[0.086, 0.125]",Debole,0.148,0.20324447815998464,1.04–1.72,1.00–2.00,76,76
10,MSE V,Duration (years),0.093,0.101,"[0.077, 0.123]",Debole,0.104,0.3700156958418801,1.18–1.75,0.69–2.81,76,76
11,iHR V,MSE V,0.086,0.086,"[0.041, 0.110]",Debole,-0.139,0.23014132636908363,49.73–86.18,1.18–1.75,76,76
12,MSE ML,MSE AP,0.085,0.074,"[0.042, 0.105]",Debole,0.382,0.0006589796208245776,1.21–2.29,1.04–1.72,76,76
13,Weigth,Duration (years),0.082,0.091,"[0.076, 0.108]",Debole,-0.227,0.04835758176534074,56.50–122.00,0.69–2.81,76,76
14,iHR V,Weigth,0.076,0.071,"[0.058, 0.095]",Debole,-0.24,0.03646020127714831,49.73–86.18,56.50–122.00,76,76
15,MSE V,Gait Speed,0.076,0.079,"[0.060, 0.108]",Debole,-0.027,0.818087253854445,1.18–1.75,0.76–1.42,76,76
16,MSE V,H-Y,0.071,0.081,"[0.064, 0.097]",Debole,0.074,0.5262945907960095,1.18–1.75,1.00–2.00,76,76
17,MSE ML,MSE V,0.07,0.073,"[0.051, 0.109]",Debole,0.327,0.003940186927743054,1.21–2.29,1.18–1.75,76,76
18,MSE V,MSE AP,0.068,0.068,"[0.052, 0.089]",Debole,0.267,0.019652345421460438,1.18–1.75,1.04–1.72,76,76
19,Weigth,Age,0.064,0.064,"[0.053, 0.073]",Debole,-0.095,0.41561082070235533,56.50–122.00,56.50–82.25,76,76
20,MSE ML,Gait Speed,0.063,0.064,"[0.038, 0.100]",Debole,0.147,0.2036630000822738,1.21–2.29,0.76–1.42,76,76
21,MSE AP,Gait Speed,0.061,0.065,"[0.039, 0.089]",Debole,0.144,0.2141887400178638,1.04–1.72,0.76–1.42,76,76
22,MSE V,Weigth,0.059,0.059,"[0.043, 0.075]",Debole,-0.048,0.6794325349150993,1.18–1.75,56.50–122.00,76,76
23,MSE ML,iHR V,0.057,0.06,"[0.052, 0.069]",Debole,0.142,0.2213894254758053,1.21–2.29,49.73–86.18,76,76
24,MSE AP,Duration (years),0.054,0.053,"[0.044, 0.060]",Debole,0.086,0.4593355292684427,1.04–1.72,0.69–2.81,76,76
25,iHR V,Age,0.051,0.052,"[0.042, 0.065]",Debole,-0.02,0.860757217918909,49.73–86.18,56.50–82.25,76,76
26,MSE ML,Age,0.049,0.055,"[0.043, 0.076]",Debole,-0.2,0.08336464628868688,1.21–2.29,56.50–82.25,76,76
27,iHR V,H-Y,0.042,0.043,"[0.039, 0.048]",Debole,-0.018,0.8754338696100973,49.73–86.18,1.00–2.00,76,76
28,Weigth,H-Y,0.038,0.042,"[0.031, 0.051]",Debole,0.122,0.29234767818542967,56.50–122.00,1.00–2.00,76,76
29,MSE AP,Age,0.037,0.039,"[0.022, 0.060]",Debole,0.046,0.6950860633128786,1.04–1.72,56.50–82.25,76,76
30,MSE ML,H-Y,0.029,0.035,"[0.026, 0.050]",Debole,-0.01,0.9330677921316257,1.21–2.29,1.00–2.00,76,76
