,Feature A,Feature B,H-stat,H (boot mean),H 95% CI (boot),Interpretazione,Spearman ρ,p(ρ),Grid A (min–max),Grid B (min–max),N usati PDP,N totale subset
1,MSE AP,Weigth,0.296,0.279,"[0.252, 0.316]",Moderata,-0.114,0.1588256303792302,1.10–1.76,65.00–180.00,153,153
2,MSE ML,MSE AP,0.269,0.274,"[0.196, 0.324]",Moderata,0.356,6.450796276228408e-06,1.23–2.26,1.10–1.76,153,153
3,Weigth,Gait Speed,0.24,0.218,"[0.193, 0.249]",Moderata,-0.385,9.237911955402811e-07,65.00–180.00,0.55–1.41,153,153
4,MSE ML,H-Y,0.223,0.206,"[0.107, 0.233]",Moderata,0.021,0.7964211011979849,1.23–2.26,1.00–4.00,153,153
5,MSE V,Weigth,0.214,0.203,"[0.174, 0.247]",Moderata,-0.118,0.14622485480270392,1.18–1.78,65.00–180.00,153,153
6,MSE ML,iHR V,0.204,0.211,"[0.171, 0.254]",Moderata,0.148,0.0686726939357286,1.23–2.26,47.31–85.87,153,153
7,MSE ML,MSE V,0.202,0.201,"[0.168, 0.234]",Moderata,0.447,6.8635391430993704e-09,1.23–2.26,1.18–1.78,153,153
8,Weigth,Duration (years),0.188,0.154,"[0.103, 0.193]",Moderata,-0.132,0.10432398441298482,65.00–180.00,0.69–3.23,153,153
9,iHR V,MSE AP,0.187,0.19,"[0.167, 0.217]",Moderata,-0.117,0.1497075770887509,47.31–85.87,1.10–1.76,153,153
10,MSE V,Age,0.186,0.184,"[0.161, 0.207]",Moderata,-0.095,0.2433742400766492,1.18–1.78,57.60–83.00,153,153
11,MSE AP,H-Y,0.175,0.178,"[0.155, 0.217]",Moderata,0.148,0.06767268582713297,1.10–1.76,1.00–4.00,153,153
12,MSE V,MSE AP,0.172,0.174,"[0.140, 0.219]",Moderata,0.279,0.000467609056688261,1.18–1.78,1.10–1.76,153,153
13,iHR V,H-Y,0.171,0.172,"[0.151, 0.193]",Moderata,-0.267,0.000833881473675885,47.31–85.87,1.00–4.00,153,153
14,iHR V,Weigth,0.163,0.165,"[0.149, 0.189]",Moderata,-0.214,0.007802996405384293,47.31–85.87,65.00–180.00,153,153
15,iHR V,MSE V,0.154,0.151,"[0.126, 0.182]",Moderata,-0.041,0.617003890130785,47.31–85.87,1.18–1.78,153,153
16,MSE AP,Gait Speed,0.145,0.139,"[0.109, 0.170]",Debole,-0.028,0.7314884514918121,1.10–1.76,0.55–1.41,153,153
17,MSE V,H-Y,0.13,0.135,"[0.117, 0.160]",Debole,0.046,0.5752255481527491,1.18–1.78,1.00–4.00,153,153
18,iHR V,Duration (years),0.129,0.113,"[0.072, 0.145]",Debole,0.006,0.9400164036106223,47.31–85.87,0.69–3.23,153,153
19,MSE AP,Age,0.107,0.113,"[0.091, 0.137]",Debole,-0.001,0.9854704064990141,1.10–1.76,57.60–83.00,153,153
20,MSE AP,Duration (years),0.104,0.098,"[0.075, 0.124]",Debole,0.203,0.011873244607168796,1.10–1.76,0.69–3.23,153,153
21,MSE ML,Age,0.104,0.104,"[0.089, 0.124]",Debole,-0.183,0.02387454699887717,1.23–2.26,57.60–83.00,153,153
22,iHR V,Gait Speed,0.103,0.099,"[0.081, 0.114]",Debole,0.4,3.006267171454059e-07,47.31–85.87,0.55–1.41,153,153
23,iHR V,Age,0.101,0.106,"[0.085, 0.121]",Debole,-0.1,0.21707953300545316,47.31–85.87,57.60–83.00,153,153
24,MSE V,Duration (years),0.097,0.089,"[0.067, 0.112]",Debole,0.177,0.02874046576622857,1.18–1.78,0.69–3.23,153,153
25,MSE ML,Weigth,0.096,0.101,"[0.084, 0.116]",Debole,-0.035,0.667200748878209,1.23–2.26,65.00–180.00,153,153
26,MSE V,Gait Speed,0.094,0.089,"[0.064, 0.112]",Debole,0.025,0.7626085868504933,1.18–1.78,0.55–1.41,153,153
27,MSE ML,Gait Speed,0.09,0.092,"[0.051, 0.137]",Debole,0.007,0.9290137451665582,1.23–2.26,0.55–1.41,153,153
28,Weigth,Age,0.083,0.084,"[0.072, 0.099]",Debole,-0.148,0.06769002595716382,65.00–180.00,57.60–83.00,153,153
29,Weigth,H-Y,0.082,0.07,"[0.057, 0.081]",Debole,0.198,0.014019181373835524,65.00–180.00,1.00–4.00,153,153
30,MSE ML,Duration (years),0.073,0.066,"[0.040, 0.085]",Debole,0.151,0.061757996257888664,1.23–2.26,0.69–3.23,153,153
