,MSE ML,iHR V,MSE V,MSE AP,Weigth,Age,"Sex (M=1, F=2)",H-Y,Gait Speed,Duration (years)
fold1,1.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,2.0,8.0
fold2,1.0,6.0,3.0,5.0,4.0,7.0,10.0,9.0,2.0,8.0
fold3,1.0,5.0,3.0,4.0,6.0,7.0,10.0,9.0,2.0,8.0
fold4,1.0,6.0,3.0,5.0,4.0,7.0,10.0,9.0,2.0,8.0
fold5,1.0,6.0,3.0,4.0,5.0,7.0,10.0,9.0,2.0,8.0
fold6,1.0,6.0,5.0,4.0,3.0,7.0,9.0,10.0,2.0,8.0
fold7,1.0,6.0,4.0,5.0,3.0,7.0,10.0,9.0,2.0,8.0
fold8,1.0,6.0,3.0,4.0,5.0,7.0,10.0,9.0,2.0,8.0
fold9,1.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,2.0,8.0
fold10,1.0,5.0,4.0,7.0,3.0,6.0,10.0,9.0,2.0,8.0
