,MSE ML,iHR V,MSE V,MSE AP,Weigth,Age,"Sex (M=1, F=2)",H-Y,Gait Speed,Duration (years)
fold1,0.11436401970658576,0.026675225981398945,0.043767435235385115,0.03051795215539702,0.045539455551029326,0.022664894725906257,0.021549851730956488,0.02775444866923555,0.06264530902562936,0.009753596447820966
fold2,0.11002585772763632,0.042620265219603486,0.03371518367066087,0.03802321210313787,0.03939256012386796,0.020664324399998595,0.03520969626088461,0.021025989724053333,0.055576477568310155,0.007460021419329368
fold3,0.09391761805036225,0.03738549243930676,0.047927028543028105,0.028628053868959686,0.03895992914223756,0.03757650993811566,0.02413036144626675,0.021547931363511724,0.06674658251323871,0.005127725898673757
fold4,0.10568928141505096,0.033687142587183694,0.05035322245447075,0.02331184199500917,0.03801502936059841,0.02733345606836892,0.02728872752719039,0.018330161428406197,0.06457082071289111,0.0062659447746420275
fold5,0.07850301200660087,0.03269504150703714,0.039932127378011426,0.035834855270204316,0.03735153097713014,0.03022357717149984,0.027077421131297384,0.019155378681594917,0.10377364385064634,0.009404663660682239
fold6,0.09840283331405038,0.0321784479542411,0.038283565697439896,0.0348953243162735,0.05819651390757378,0.02276067868409091,0.03493608252822777,0.015914661798177316,0.06216897907937952,0.010410105372155753
fold7,0.0854329566934333,0.040675197399969734,0.06636192653105268,0.04087923822927743,0.07241419969918314,0.014576737313569831,0.019069531631104964,0.018424207877891594,0.03822431896440375,0.011076014877399612
fold8,0.10273982924740231,0.017015103056768472,0.05365927934295507,0.04009036071616785,0.04297862226823724,0.019276243982133987,0.02889606775307558,0.0173237163461938,0.0739224556504857,0.016428558815837605
fold9,0.08042429857043693,0.04085242339940852,0.072179313804598,0.026848319503967617,0.04548933821602068,0.027691050976043227,0.014308377200397158,0.01823984022961641,0.04829624852339834,0.012054904808503623
fold10,0.08233107597506897,0.04076707688575228,0.04262333673793756,0.024548620076329346,0.042773747226300826,0.037827165655114355,0.023525785106012373,0.01820061610504852,0.05370572858773233,0.01003672536788608
