pt,NB,model
0.1,0.3353535353535354,RF
0.12000000000000001,0.3231404958677686,RF
0.14,0.30824524312896406,RF
0.16,0.2995670995670996,RF
0.18,0.28425720620842576,RF
0.2,0.23181818181818184,RF
0.22,0.22004662004662007,RF
0.24000000000000002,0.19617224880382775,RF
0.26,0.17395577395577394,RF
0.28,0.13939393939393938,RF
0.30000000000000004,0.1688311688311688,RF
0.32,0.18074866310160426,RF
0.33999999999999997,0.1685950413223141,RF
0.36,0.1556818181818182,RF
0.38,0.14604105571847506,RF
0.4,0.12727272727272723,RF
0.42000000000000004,0.10971786833855793,RF
0.44000000000000006,0.11168831168831161,RF
0.45999999999999996,0.09966329966329965,RF
0.48,0.08671328671328668,RF
0.5,0.0727272727272727,RF
0.52,0.11666666666666664,RF
0.54,0.10513833992094859,RF
0.56,0.09256198347107433,RF
0.58,0.13593073593073596,RF
0.6,0.09090909090909094,RF
0.62,0.07464114832535886,RF
0.64,0.09898989898989899,RF
0.66,0.09304812834224599,RF
0.6799999999999999,0.08636363636363638,RF
0.7,0.12121212121212122,RF
0.72,0.06233766233766234,RF
0.74,0.057342657342657345,RF
0.76,0.03333333333333333,RF
0.78,0.09090909090909091,RF
0.8,0.03636363636363636,RF
0.82,0.01818181818181818,RF
0.84,0.0,RF
0.86,0.0,RF
0.88,0.0,RF
0.9,0.0,RF
0.1,0.33333333333333337,Surrogate
0.12000000000000001,0.3181818181818182,Surrogate
0.14,0.3023255813953489,Surrogate
0.16,0.2857142857142857,Surrogate
0.18,0.2682926829268293,Surrogate
0.2,0.25,Surrogate
0.22,0.2307692307692308,Surrogate
0.24000000000000002,0.17224880382775118,Surrogate
0.26,0.16707616707616707,Surrogate
0.28,0.1616161616161616,Surrogate
0.30000000000000004,0.15584415584415584,Surrogate
0.32,0.1497326203208556,Surrogate
0.33999999999999997,0.14325068870523416,Surrogate
0.36,0.13636363636363635,Surrogate
0.38,0.12903225806451613,Surrogate
0.4,0.1212121212121212,Surrogate
0.42000000000000004,0.11285266457680249,Surrogate
0.44000000000000006,0.10389610389610386,Surrogate
0.45999999999999996,0.09427609427609429,Surrogate
0.48,0.08391608391608393,Surrogate
0.5,0.07272727272727272,Surrogate
0.52,0.06060606060606058,Surrogate
0.54,0.04743083003952567,Surrogate
0.56,0.033057851239669395,Surrogate
0.58,0.01731601731601734,Surrogate
0.6,2.7755575615628914e-17,Surrogate
0.62,-0.019138755980861233,Surrogate
0.64,-0.040404040404040414,Surrogate
0.66,-0.06417112299465241,Surrogate
0.6799999999999999,-0.009090909090909066,Surrogate
0.7,-0.024242424242424232,Surrogate
0.72,-0.04935064935064934,Surrogate
0.74,-0.06433566433566432,Surrogate
0.76,-0.08181818181818182,Surrogate
0.78,-0.10247933884297522,Surrogate
0.8,-0.12727272727272732,Surrogate
0.82,-0.1575757575757575,Surrogate
0.84,-0.1954545454545454,Surrogate
0.86,-0.2441558441558441,Surrogate
0.88,-0.3090909090909091,Surrogate
0.9,-0.4,Surrogate
0.1,0.33333333333333337,Tratta tutti
0.12000000000000001,0.3181818181818182,Tratta tutti
0.14,0.3023255813953489,Tratta tutti
0.16,0.2857142857142857,Tratta tutti
0.18,0.2682926829268293,Tratta tutti
0.2,0.25,Tratta tutti
0.22,0.2307692307692308,Tratta tutti
0.24000000000000002,0.2105263157894737,Tratta tutti
0.26,0.1891891891891892,Tratta tutti
0.28,0.16666666666666666,Tratta tutti
0.30000000000000004,0.14285714285714285,Tratta tutti
0.32,0.11764705882352944,Tratta tutti
0.33999999999999997,0.090909090909091,Tratta tutti
0.36,0.06250000000000006,Tratta tutti
0.38,0.03225806451612906,Tratta tutti
0.4,0.0,Tratta tutti
0.42000000000000004,-0.03448275862068967,Tratta tutti
0.44000000000000006,-0.07142857142857151,Tratta tutti
0.45999999999999996,-0.11111111111111105,Tratta tutti
0.48,-0.15384615384615374,Tratta tutti
0.5,-0.19999999999999996,Tratta tutti
0.52,-0.25,Tratta tutti
0.54,-0.30434782608695654,Tratta tutti
0.56,-0.36363636363636376,Tratta tutti
0.58,-0.4285714285714284,Tratta tutti
0.6,-0.4999999999999998,Tratta tutti
0.62,-0.5789473684210525,Tratta tutti
0.64,-0.6666666666666666,Tratta tutti
0.66,-0.7647058823529412,Tratta tutti
0.6799999999999999,-0.8749999999999997,Tratta tutti
0.7,-0.9999999999999997,Tratta tutti
0.72,-1.1428571428571428,Tratta tutti
0.74,-1.3076923076923075,Tratta tutti
0.76,-1.5,Tratta tutti
0.78,-1.7272727272727275,Tratta tutti
0.8,-2.0000000000000004,Tratta tutti
0.82,-2.3333333333333326,Tratta tutti
0.84,-2.7499999999999996,Tratta tutti
0.86,-3.285714285714285,Tratta tutti
0.88,-4.0,Tratta tutti
0.9,-5.000000000000001,Tratta tutti
0.1,0.0,Tratta nessuno
0.12000000000000001,0.0,Tratta nessuno
0.14,0.0,Tratta nessuno
0.16,0.0,Tratta nessuno
0.18,0.0,Tratta nessuno
0.2,0.0,Tratta nessuno
0.22,0.0,Tratta nessuno
0.24000000000000002,0.0,Tratta nessuno
0.26,0.0,Tratta nessuno
