pt,NB,model
0.1,0.33333333333333337,RF
0.11,0.32808988764044944,RF
0.12000000000000001,0.3206611570247934,RF
0.13,0.31577847439916407,RF
0.14,0.30824524312896406,RF
0.15000000000000002,0.30053475935828877,RF
0.16,0.2813852813852814,RF
0.17,0.2738225629791895,RF
0.18,0.2660753880266076,RF
0.19,0.2581369248035915,RF
0.2,0.25,RF
0.21000000000000002,0.2234752589182969,RF
0.22,0.22004662004662007,RF
0.23,0.21700118063754428,RF
0.24000000000000002,0.19043062200956937,RF
0.25,0.1696969696969697,RF
0.26,0.17395577395577394,RF
0.27,0.18605230386052302,RF
0.28,0.1818181818181818,RF
0.29000000000000004,0.18284250960307297,RF
0.30000000000000004,0.1766233766233766,RF
0.31,0.18656126482213437,RF
0.32,0.1978609625668449,RF
0.33,0.19267299864314785,RF
0.33999999999999997,0.18732782369146006,RF
0.35,0.18181818181818182,RF
0.36,0.16818181818181815,RF
0.37,0.1734487734487734,RF
0.38,0.15014662756598238,RF
0.39,0.1448584202682563,RF
0.4,0.13939393939393935,RF
0.41000000000000003,0.1463790446841294,RF
0.42000000000000004,0.1410658307210031,RF
0.43000000000000005,0.13556618819776708,RF
0.44000000000000006,0.1298701298701298,RF
0.45000000000000007,0.12396694214876025,RF
0.45999999999999996,0.09966329966329965,RF
0.47,0.09331046312178387,RF
0.48,0.1034965034965035,RF
0.49,0.0966131907308378,RF
0.5,0.1090909090909091,RF
0.51,0.1038961038961039,RF
0.52,0.08030303030303029,RF
0.53,0.07466150870406188,RF
0.54,0.06877470355731224,RF
0.55,0.026262626262626237,RF
0.56,0.019834710743801637,RF
0.5700000000000001,0.013107822410147962,RF
0.58,0.006060606060606127,RF
0.59,-0.0013303769401329657,RF
0.6,-0.009090909090909038,RF
0.61,-0.017249417249417226,RF
0.62,-0.02583732057416266,RF
0.63,-0.003931203931203914,RF
0.64,-0.012121212121212116,RF
0.65,0.012987012987012964,RF
0.66,0.04064171122994653,RF
0.67,0.07162534435261707,RF
0.6799999999999999,0.05,RF
0.69,0.0463343108504399,RF
0.7,0.08484848484848484,RF
0.71,0.08275862068965517,RF
0.72,0.08051948051948052,RF
0.73,0.059932659932659935,RF
0.74,0.057342657342657345,RF
0.75,0.10909090909090909,RF
0.76,0.10909090909090909,RF
0.77,0.09090909090909091,RF
0.78,0.09090909090909091,RF
0.79,0.09090909090909091,RF
0.8,0.03636363636363636,RF
0.8099999999999999,0.03636363636363636,RF
0.82,0.03636363636363636,RF
0.83,0.03636363636363636,RF
0.84,0.0,RF
0.85,0.0,RF
0.86,0.0,RF
0.87,0.0,RF
0.88,0.0,RF
0.89,0.0,RF
0.9,0.0,RF
0.1,0.33333333333333337,Surrogate
0.11,0.3258426966292135,Surrogate
0.12000000000000001,0.3181818181818182,Surrogate
0.13,0.3103448275862069,Surrogate
0.14,0.3023255813953489,Surrogate
0.15000000000000002,0.29411764705882354,Surrogate
0.16,0.2857142857142857,Surrogate
0.17,0.27710843373493976,Surrogate
0.18,0.2682926829268293,Surrogate
0.19,0.2592592592592593,Surrogate
0.2,0.25,Surrogate
0.21000000000000002,0.1286536248561565,Surrogate
0.22,0.12540792540792542,Surrogate
0.23,0.12207792207792209,Surrogate
0.24000000000000002,0.1186602870813397,Surrogate
0.25,0.11515151515151516,Surrogate
0.26,0.11154791154791155,Surrogate
0.27,0.10784557907845578,Surrogate
0.28,0.10404040404040403,Surrogate
0.29000000000000004,0.10012804097311138,Surrogate
0.30000000000000004,0.09610389610389608,Surrogate
0.31,0.0919631093544137,Surrogate
0.32,0.08770053475935828,Surrogate
0.33,0.08331071913161464,Surrogate
0.33999999999999997,0.07878787878787881,Surrogate
0.35,0.07412587412587412,Surrogate
0.36,0.06931818181818182,Surrogate
0.37,0.06435786435786435,Surrogate
0.38,0.05923753665689149,Surrogate
0.39,0.05394932935916541,Surrogate
0.4,0.048484848484848464,Surrogate
0.41000000000000003,0.042835130970724195,Surrogate
0.42000000000000004,0.03699059561128523,Surrogate
0.43000000000000005,0.030940988835725658,Surrogate
0.44000000000000006,0.024675324675324628,Surrogate
0.45000000000000007,0.018181818181818132,Surrogate
0.45999999999999996,0.011447811447811457,Surrogate
0.47,0.004459691252144099,Surrogate
0.48,-0.0027972027972028024,Surrogate
0.49,-0.0103386809269162,Surrogate
0.5,-0.018181818181818188,Surrogate
0.51,-0.02634508348794065,Surrogate
0.52,-0.03484848484848488,Surrogate
0.53,-0.043713733075435246,Surrogate
0.54,-0.05296442687747038,Surrogate
0.55,-0.0626262626262627,Surrogate
0.56,-0.07272727272727275,Surrogate
0.5700000000000001,-0.08329809725158571,Surrogate
0.58,-0.09437229437229433,Surrogate
0.59,-0.10598669623059864,Surrogate
0.6,-0.11818181818181817,Surrogate
0.61,-0.131002331002331,Surrogate
0.62,-0.1444976076555024,Surrogate
0.63,-0.053071253071253044,Surrogate
0.64,-0.06262626262626261,Surrogate
0.65,-0.07272727272727275,Surrogate
0.66,-0.08342245989304814,Surrogate
0.67,-0.0947658402203857,Surrogate
0.6799999999999999,-0.10681818181818176,Surrogate
0.69,-0.1196480938416421,Surrogate
0.7,-0.13333333333333325,Surrogate
0.71,-0.14796238244514098,Surrogate
0.72,-0.16363636363636358,Surrogate
0.73,-0.1804713804713804,Surrogate
0.74,-0.165034965034965,Surrogate
0.75,-0.18181818181818182,Surrogate
0.76,-0.2,Surrogate
0.77,-0.21976284584980238,Surrogate
0.78,-0.24132231404958682,Surrogate
0.79,-0.2147186147186148,Surrogate
0.8,-0.23636363636363644,Surrogate
