Feature,Mean_0,Std_0,Median_0,IQR_0,Mean_1,Std_1,Median_1,IQR_1,p_value
HR V,2.0963319018404905,0.602516187857481,2.07,0.7950000000000002,2.217761614678899,0.7002583492438094,2.15,0.96,0.2855009837392617
HR ML,1.7241709570552148,0.41393919363925963,1.72,0.45500000000000007,1.7985031376146792,0.4938272098083887,1.69,0.6600000000000001,0.503297166512684
HR AP,1.9629676564417176,0.5952637408179028,1.974,0.855,2.160292137614679,0.7967602073752069,1.97,0.98,0.158727344963568
iHR V,62.73948717948717,11.548206161208332,63.370000000000005,16.297500000000007,68.10163551401868,12.642385447369454,69.43,20.264999999999993,0.0002829512582108857
iHR ML,54.13435897435898,7.245766744483799,53.475,9.662500000000001,55.407841121495316,9.78913354150343,54.91,12.750000000000007,0.3853926204565886
iHR AP,71.08397435897436,7.408869547611959,71.945,8.602500000000006,70.48285046728971,9.12363768874796,71.87,11.985000000000014,0.9454009987337204
%det V,55.79543670886076,12.852491001181802,56.951,18.253749999999997,58.21336448598131,11.985837559695451,59.841,19.82199999999999,0.13692575402474363
%det ML,44.73958227848101,17.301219821586084,40.852000000000004,27.036,49.714504672897206,17.565761387970888,47.366,30.64049999999999,0.02049419547304223
%det AP,39.49777215189873,13.419048773514875,38.893,15.380749999999992,43.1291214953271,15.480288190061703,42.141,21.311500000000002,0.10425750731871243
MSE V,1.4099220779220778,0.156569495625297,1.3984999999999999,0.1847500000000002,1.4876084112149535,0.2066768739157889,1.464,0.2705000000000002,0.002364493501534154
MSE ML,1.478987012987013,0.22727248875295178,1.4609999999999999,0.27725,1.7184299065420559,0.36331892825101053,1.639,0.44750000000000023,1.56424826660893e-08
MSE AP,1.3251448051948052,0.18054722665072695,1.325,0.1805000000000001,1.4139074766355142,0.27341870741815394,1.383,0.2929999999999997,0.004763564281643647
Tilt,4.187423312883436,1.8727360287238337,3.85,2.0749999999999993,4.165596330275229,1.859767723047723,3.9,1.8499999999999996,0.8986053607791511
Obliquity,4.733742331288344,2.1393479553213735,4.35,3.075,5.2665137614678885,2.4431054259884184,5.1,3.05,0.0757471169595994
Rotation (range),5.632208588957055,2.9708313515218325,5.0,3.625,5.9502293577981655,2.979555132817735,5.5,4.050000000000001,0.3197864321122751
Stance,61.29740853658537,2.298472383634745,61.459999999999994,2.9937499999999986,61.55642201834863,2.378650225301215,61.905,3.1400000000000006,0.2617432423771697
Swing,39.04240853658537,2.433757822549808,38.849999999999994,3.0974999999999966,38.72050458715595,2.431291946696519,38.875,3.0500000000000043,0.39623530946026975
Double Support,11.199606707317072,2.2105972180905282,11.35875,3.2049999999999983,11.565717592592593,2.2924337924714813,11.75,3.0343750000000025,0.18055469579213346
Single Support,39.07920731707317,2.270141609257251,39.09,3.154999999999994,38.8352752293578,2.4429011701767847,38.815,3.25,0.42880734627607653
Stride Length,1.0311111111111113,0.28881208832084654,1.04,0.4225000000000002,1.036422018348624,0.2323651458205056,1.08,0.2799999999999999,0.8328626288441412
Cadence,105.9964417177914,12.728098966847085,107.79,16.284999999999997,109.60908256880734,14.234466682778082,109.96,16.11999999999999,0.03172937289769068
Gait Speed,0.9329631901840492,0.2464337461251322,0.91,0.30500000000000005,0.9488990825688075,0.2558396830538148,0.97,0.3700000000000001,0.5600386013742056
"Sex (M=1, F=2)",1.0426829268292683,0.5352668018423811,1.0,0.0,1.2363636363636363,0.5233497037612833,1.0,1.0,0.0037433608893301528
Age,72.1829268292683,7.650539174680753,73.0,9.0,71.19090909090909,6.932830358565722,72.0,8.0,0.12328498585097823
Heigth,128.3231707317073,49.9347962547295,160.5,100.0,140.9090909090909,43.893646580970525,162.0,85.0,0.13617282039207868
Weigth,115.97239263803681,45.707816399850195,92.0,92.0,101.00909090909092,44.71345988154815,78.0,88.0,0.004507451386040092
Age Onset,64.96503496503496,9.446224812219654,66.0,13.0,62.34615384615385,7.78069459395825,63.0,12.0,0.0056325617914426375
Duration (years),7.901315789473684,6.682129838934948,6.0,8.0,8.930476190476192,5.717855363977824,7.0,9.0,0.03340067691279708
"Onset (1=early (<49), 2= middle (5 2-69), 3=late (>7 2) )",2.2434210526315788,0.6197276749323278,2.0,1.0,2.1226415094339623,0.4918929459349432,2.0,0.0,0.06031109228602374
LEDD,609.35,365.0257370093857,569.0,460.0,652.3177570093458,386.7618739412459,562.0,525.5,0.4969009543181553
"Postural Alteration
(1=si,2=no)",1.024390243902439,0.7426632518652758,1.0,2.0,0.9724770642201835,0.5686031551795949,1.0,0.0,0.5317992262251848
"Camptocromico=1 ,Torre di Pisa=2, Flessione dorsale=3, Inclinazione laterale=4",1.3658536585365855,1.4401107244577371,1.0,3.0,1.6545454545454545,1.3302159832655418,2.0,3.0,0.06114204923640283
"Falls last year (1=si, 2=no)",1.0987654320987654,0.7658055195050968,1.0,1.0,1.1869158878504673,0.7786156210295507,1.0,1.0,0.34184283479848554
Updrs-III,24.953846153846154,12.503557037131431,21.5,17.0,24.86904761904762,11.94241177828174,23.0,14.25,0.7335172941929258
H-Y,2.6772151898734178,0.8634030385060935,3.0,1.0,2.7037037037037037,0.8940013930790466,3.0,1.0,0.9406205238064822
