Combo,Support,Mean_target_bin
Constipation_Hyposmia_REM_Depression,28,1.0
Constipation_Hyposmia_REM,47,1.0
Hyposmia_REM_Depression,38,1.0
Constipation_REM_Depression,65,1.0
Constipation_Hyposmia_Depression,44,1.0
Hyposmia_REM,63,0.9047619047619048
Constipation_REM,96,0.875
Constipation_Depression,93,0.8709677419354839
Constipation_Hyposmia,73,0.863013698630137
Hyposmia_Depression,64,0.84375
Hyposmia,101,0.7227722772277227
Constipation,153,0.6535947712418301
REM_Depression,121,0.6198347107438017
Depression,167,0.5449101796407185
REM,178,0.5280898876404494
Constipation_ProdromalCount,19,0.0
REM_ProdromalCount,20,0.0
Depression_ProdromalCount,8,0.0
ProdromalCount,49,0.0
