Sex,Feature,p_MannWhitney,Cliff_delta,Effect_strength,Effect_direction,p_FDR,Significant_FDR
Female,MSE V,0.9926772868729101,0.002976190476190476,Negligible,↑,0.9926772868729101,False
Female,MSE ML,0.3491731069736427,0.15327380952380953,Small,↑,0.5819551782894045,False
Female,MSE AP,0.8185232829591835,0.03869047619047619,Negligible,↑,0.9926772868729101,False
Female,iHR V,0.08234603605200659,0.28,Small,↑,0.20586509013001647,False
Female,%det ML,0.04022268332418644,0.3269230769230769,Small,↑,0.20111341662093218,False
Male,MSE V,0.00135531425208782,0.278992628992629,Small,↑,0.0022588570868130337,True
Male,MSE ML,8.616659055696915e-09,0.5011056511056511,Large,↑,4.3083295278484575e-08,True
Male,MSE AP,0.00017077478839432858,0.32727272727272727,Small,↑,0.0004269369709858214,True
Male,iHR V,0.003998952922427408,0.2501826150474799,Small,↑,0.004998691153034259,True
Male,%det ML,0.1612080071747488,0.12162162162162163,Negligible,↑,0.1612080071747488,False
