,MSE ML,iHR V,MSE V,MSE AP,Weigth,Age,"Sex (M=1, F=2)",H-Y,Gait Speed,Duration (years)
MSE ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iHR V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSE V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSE AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weigth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sex (M=1, F=2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H-Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gait Speed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duration (years),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
