feature,n_class0,mean_class0,median_class0,q25_class0,q75_class0,IQR_class0,n_class1,mean_class1,median_class1,q25_class1,q75_class1,IQR_class1,MWU_stat,MWU_pvalue
MSE ML,33,0.07848972380990517,0.07365050866002776,0.06018576342681854,0.08452360190281524,0.0243378384759967,22,0.11164822761826651,0.0728484559368934,0.03896594716867668,0.201416179631897,0.16245023246322032,346.0,0.776814004155482
Weigth,33,0.04849159022475579,0.04360970531456133,0.021293780902230993,0.07015207855153222,0.04885829764930122,22,0.061419659988918525,0.05960222457332236,0.04116526234341023,0.07620456752143952,0.035039305178029286,262.0,0.08423765086801646
MSE V,33,0.0411002032048381,0.036195074946806474,0.028543056638408188,0.042136587608749776,0.013593530970341588,22,0.04648723881394279,0.021036132124247615,0.015078460181732395,0.05360489101469568,0.03852643083296328,425.0,0.29070216885407363
iHR V,33,0.042908799502397274,0.025951621120555046,0.020637576621240897,0.0380340895117547,0.017396512890513804,22,0.04100459704492768,0.025058658132603003,0.018217494588224102,0.059831481080290704,0.0416139864920666,384.0,0.7246926503524194
Gait Speed,33,0.045801419951944776,0.046005307687530604,0.021311645302807845,0.05725482950485002,0.03594318420204218,22,0.03971615984877262,0.02501687749180235,0.01768781907538852,0.04497554340166545,0.027287724326276932,476.0,0.053264183440293815
MSE AP,33,0.0244470976727204,0.020891353684316983,0.015138268019676389,0.030197863853909438,0.01505959583423305,22,0.031152388276520046,0.020956482693908353,0.015600486931586773,0.043096346313782875,0.027495859382196102,322.0,0.4865551951173679
"Sex (M=1, F=2)",33,0.029195754425997197,0.024451048898829413,0.01752599168042707,0.02925719249606118,0.01173120081563411,22,0.028078190214083917,0.021317843906261374,0.011844577312147065,0.03623249576992748,0.024387918457780412,419.0,0.3403361458357106
Age,33,0.027780886594701425,0.023332300026045232,0.014437690268804317,0.04307700570483121,0.028639315436026894,22,0.026306516679210346,0.021179080132637293,0.013576492477131979,0.032259577750163825,0.018683085273031846,376.0,0.8299602559435824
H-Y,33,0.02567793804374741,0.018967246095419343,0.012694791579671119,0.030245908221698984,0.017551116642027867,22,0.022061999084276813,0.015734737655398588,0.009528378832965529,0.022601663291644626,0.013073284458679097,440.0,0.1887501268655729
Duration (years),33,0.008616675976483962,0.006017712700127049,0.0041084010938971,0.014536588224059415,0.010428187130162313,22,0.014027266515251813,0.009207991552057138,0.005351096534489556,0.02292981712322728,0.017578720588737724,264.0,0.090598311666459
