,HR V,HR ML,HR AP,iHR V,iHR ML,iHR AP,%det V,%det ML,%det AP,MSE V,MSE ML,MSE AP,Tilt,Obliquity,Rotation (range),Stance,Swing,Double Support,Single Support,Stride Length,Cadence,Gait Speed,Age,"Sex (M=1, F=2)",Age Onset,Duration (years),H-Y,LEDD,Updrs-III
HR V,1.0,0.408720035148133,0.7504218147315795,0.41052956423160336,0.10434973066580047,0.12323823521799894,0.19736602207183113,0.22412302986875704,0.10874852758590092,-0.25091071161982986,-0.044329627115334364,-0.23105572025404508,-0.17208759778507338,0.26044444287041846,-0.0670438987277954,-0.0665104060835952,0.07555529832675408,-0.06003204878974714,0.09225352191305898,0.4310632781848166,0.230886280945503,0.31059112823682705,-0.03771487835435359,0.19137087293416608,0.13350670162322753,-0.1919817348908255,-0.3985083865305565,-0.1624051946869252,-0.400820123904256
HR ML,0.408720035148133,1.0,0.4629060535044545,0.04170930013094652,0.052501443618896484,0.04406270242778889,0.015277803782538662,0.2562715998929485,0.03357686081404079,-0.13791790148387797,-0.10407353911149607,-0.14530953577235184,-0.11402248834781441,0.08663314493240182,0.054415199610033604,-0.10297610108740932,0.11625573571524035,-0.09133757992001172,0.13521727220132046,0.12530349136710697,0.009111499275156544,0.04827653593973826,-0.04575371029620875,0.284859826084257,0.055864776114866024,-0.14077028529506863,-0.04510507315236282,-0.07676033887801645,-0.11334238606808138
HR AP,0.7504218147315795,0.4629060535044545,1.0,0.45405514542585745,0.169951120831001,0.18581831089736217,0.14424337968160386,0.19998487818809335,0.1184603571916025,-0.18053124737159562,-0.05209734071785208,-0.3303943988916665,-0.21717034801646734,0.25831621536155347,0.017674482411888296,-0.03562126707183547,0.02864437066940014,-0.019868986088520762,0.043568863802454456,0.3729710552847633,0.18184101760537874,0.25180826176842436,-0.09142258082114994,0.2041230023386966,0.09951701333515894,-0.24610698237151513,-0.3393502013679378,-0.12014885807382261,-0.4493368136402947
iHR V,0.41052956423160336,0.04170930013094652,0.45405514542585745,1.0,0.15988596407184347,0.01612118545483844,0.06457855216179992,0.2329033879557072,0.14757089547082658,-0.07943598640952904,0.14806779796472405,-0.1012536864991942,-0.00799550890804896,0.29587767548210797,0.07044058671565767,-0.01919804290826454,0.05538700185214965,0.008947945413920135,0.05902865676270042,0.4628007880056959,0.42565244835363125,0.45631673882292323,-0.03549280551352032,0.018612933102904974,0.03396117097002242,-0.09568504207477802,-0.32279794790599625,-0.13902239296139302,-0.3550975659093693
iHR ML,0.10434973066580047,0.052501443618896484,0.169951120831001,0.15988596407184347,1.0,0.06084757259315823,0.023988610275182027,0.13275038998426045,0.03137286720960765,-0.10969516288206702,0.006560846953847031,-0.010037699376660922,0.11818131116781651,0.16035627636124122,0.029795517410175536,-0.04112036804024619,0.08159871391566823,-0.05289903097357645,0.0697733711996233,0.2400933925187416,0.022138190121151764,0.20390893903503704,-0.053025483683475656,0.02740111656207102,0.022370715047334712,-0.18546093271465044,-0.23887415342772295,-0.18825840683665396,-0.25151956484835036
iHR AP,0.12323823521799894,0.04406270242778889,0.18581831089736217,0.01612118545483844,0.06084757259315823,1.0,0.145535749919915,-0.010053917521771108,0.034619422511732084,-0.043321276491395666,-0.09102108662775348,-0.2249147536365913,-0.11094064477232621,-0.05167299009962016,-0.026567797500578975,0.4218647056139174,-0.46065377249545,0.43519705663671776,-0.4646382421232282,-0.12466172343160752,-0.21043442026573847,-0.10768658206291046,0.04629012187766664,0.044217306944841196,0.08314986041172058,-0.00020575681205098497,0.04567723518449329,0.114311940773602,-0.06617939300809644
%det V,0.19736602207183113,0.015277803782538662,0.14424337968160386,0.06457855216179992,0.023988610275182027,0.145535749919915,1.0,0.23675971882518398,0.32579368175607226,-0.15082638841300117,0.0871206221844722,0.02389287202938407,-0.10103588395887741,-0.054199413508958724,-0.02467950543340847,0.0629842546220403,-0.03513820074551535,0.05221640500085236,-0.04628148283011224,-0.040021387858994374,0.09033237406557236,0.10445315382105531,0.01577537605717198,0.1737945623303853,-0.00378140269171872,0.020510851521207928,-0.0007025015027501177,-0.014736094566326309,-0.03976103940252381
%det ML,0.22412302986875704,0.2562715998929485,0.19998487818809335,0.2329033879557072,0.13275038998426045,-0.010053917521771108,0.23675971882518398,1.0,0.20929610215253108,-0.054148984459285815,-0.06502349410484999,0.026807641104057305,0.04421895607341952,0.1612892130123906,0.09347029645403968,0.06017629923204063,-0.026356109016051014,0.07584414483374391,-0.020032841834997397,0.19295075012900878,0.24837025019781497,0.2538047180901863,-0.059061730727764605,0.17757570736699455,0.009692333320433164,-0.151022663400102,-0.24526151388639314,-0.15681371901998795,-0.35447028473597136
%det AP,0.10874852758590092,0.03357686081404079,0.1184603571916025,0.14757089547082658,0.03137286720960765,0.034619422511732084,0.32579368175607226,0.20929610215253108,1.0,-0.015026010775983777,0.04691092253636281,-0.08177214720479013,0.040077903232208674,0.011023355267723382,0.04399323459597162,0.016469050102593606,0.031602536676739894,0.012904014752778947,0.005560961486325475,0.08095102954921618,0.046400952202397816,0.09895462391769312,-0.09256029131612017,0.12526197190720886,-0.07632528227040493,0.00910056210410027,-0.052976230118762596,0.03484409569357582,-0.07647227485385549
MSE V,-0.25091071161982986,-0.13791790148387797,-0.18053124737159562,-0.07943598640952904,-0.10969516288206702,-0.043321276491395666,-0.15082638841300117,-0.054148984459285815,-0.015026010775983777,1.0,0.45754180281795187,0.3299257684883807,0.11645954798605897,-0.019356001707300237,0.06902058184701695,0.023429707755238116,-0.031575743125699024,0.029596970558378625,-0.04065191005780901,-0.09332775453738115,0.12284800745320414,-0.01140279798509915,-0.00828985098203167,-0.08202237847834891,-0.08000586771154869,0.09976232984846828,0.09466756195825267,0.07523090683104341,0.12930679973953954
MSE ML,-0.044329627115334364,-0.10407353911149607,-0.05209734071785208,0.14806779796472405,0.006560846953847031,-0.09102108662775348,0.0871206221844722,-0.06502349410484999,0.04691092253636281,0.45754180281795187,1.0,0.4122750815648863,0.09418942644966287,-0.04402941194529284,0.036174041123141,-0.09748992466996625,0.08093404635340311,-0.11538814740316682,0.07444219272300065,0.01254482579468829,0.18945825009218598,0.05996971815300138,-0.058093251186772006,-0.12830677278789268,-0.12196379357521178,0.07373601507345484,0.007979592472067386,0.05362790894645942,0.04901292373419659
MSE AP,-0.23105572025404508,-0.14530953577235184,-0.3303943988916665,-0.1012536864991942,-0.010037699376660922,-0.2249147536365913,0.02389287202938407,0.026807641104057305,-0.08177214720479013,0.3299257684883807,0.4122750815648863,1.0,0.22233724818241732,-0.043138267113893215,0.047587484789281716,-0.02448372479217332,0.02998599639981885,-0.02679754236869166,-0.0009174328955321872,-0.07816868515632959,0.137740283192146,0.04116738040227479,-0.0040990657630376294,-0.19426280794158693,-0.16300820999545393,0.17316282779893782,0.17485517393153638,0.08506381698584382,0.19867272442873568
Tilt,-0.17208759778507338,-0.11402248834781441,-0.21717034801646734,-0.00799550890804896,0.11818131116781651,-0.11094064477232621,-0.10103588395887741,0.04421895607341952,0.040077903232208674,0.11645954798605897,0.09418942644966287,0.22233724818241732,1.0,0.3408228486884848,0.11585819058768455,0.03078692605225272,0.030918484919789133,0.035237629516691384,0.007185860585324452,0.1723799863030339,0.012845691576023189,0.16597061296333301,-0.09020431829597264,-0.05036267037535744,-0.006701522775619205,-0.10917795298113366,-0.029083224821926847,-0.08742877260451931,-0.03423664837281848
Obliquity,0.26044444287041846,0.08663314493240182,0.25831621536155347,0.29587767548210797,0.16035627636124122,-0.05167299009962016,-0.054199413508958724,0.1612892130123906,0.011023355267723382,-0.019356001707300237,-0.04402941194529284,-0.043138267113893215,0.3408228486884848,1.0,0.3230964109579528,-0.03859311034504586,0.08844011777318085,-0.038201095141501336,0.0842218008013482,0.43615106080489247,0.1253868141633444,0.3700874149766024,-0.23144536381233574,0.05713645017377609,0.0002107959023107522,-0.2657572086866339,-0.34877084814540726,-0.28565440767718137,-0.33760056200194694
