Feature_1,Feature_2,Spearman_rho,p_value
Swing,Single Support,0.9724526010032416,2.0017378471798914e-173
Stance,Double Support,0.962738799188041,2.2820992483449576e-155
Double Support,Single Support,-0.9119114116944896,1.9403573675026123e-106
Stance,Swing,-0.9087047382831082,8.074841443339326e-105
Stance,Single Support,-0.9077683760420282,3.014297254341264e-104
Swing,Double Support,-0.901773136822578,2.3329507122317473e-100
HR V,HR AP,0.7504218147315794,1.8050175546871117e-50
Age,Age Onset,0.7450176615056806,5.640465739627725e-45
Stride Length,Gait Speed,0.7078661987408599,1.6631179571707054e-42
H-Y,Updrs-III,0.6927969091772294,4.495466547496343e-31
H-Y,LEDD,0.5620560027003212,4.701564448656106e-23
Stride Length,Updrs-III,-0.539997005042355,2.28247833165501e-17
Stride Length,H-Y,-0.5118496138663341,5.776281293621307e-19
Age Onset,Duration (years),-0.49785647183947573,8.200832175509649e-17
Cadence,Gait Speed,0.49711786039222977,2.1986595939610154e-18
LEDD,Updrs-III,0.48570235409348556,9.041012299199025e-14
iHR AP,Single Support,-0.46463824212322824,1.7241525524577501e-15
HR ML,HR AP,0.4629060535044546,7.510973570126151e-16
iHR V,Stride Length,0.4628007880056959,2.934829868177252e-15
iHR AP,Swing,-0.46065377249545003,3.2066242770038393e-15
MSE V,MSE ML,0.45754180281795187,6.572360509439177e-15
iHR V,Gait Speed,0.45631673882292334,7.029313031645105e-15
HR AP,iHR V,0.4540551454258575,8.803848950520218e-15
HR AP,Updrs-III,-0.4493368136402947,6.2488574927043816e-12
Obliquity,Stride Length,0.4361510608048924,5.779095553688888e-14
iHR AP,Double Support,0.43519705663671776,1.5617992952105957e-13
HR V,Stride Length,0.43106327818481655,1.3440707415960538e-13
iHR V,Cadence,0.4256524483536312,5.919464386760366e-13
Duration (years),LEDD,0.42513428090632693,1.7550660852494605e-12
iHR AP,Stance,0.4218647056139174,8.985913923366714e-13
Gait Speed,Updrs-III,-0.4178292664938995,2.2956991670516738e-10
MSE ML,MSE AP,0.41227508156488624,3.930970876821912e-12
Gait Speed,H-Y,-0.41124612524458193,3.3870443046798807e-12
HR V,iHR V,0.4105295642316034,4.090077955802434e-12
HR V,HR ML,0.408720035148133,2.2398157620893537e-12
HR V,Updrs-III,-0.40082012390425603,1.3832594491219801e-09
HR V,H-Y,-0.39850838653055654,1.7571920938207315e-11
Duration (years),H-Y,0.3760857997477118,7.457492737002398e-10
HR AP,Stride Length,0.37297105528476326,2.647361511540911e-10
Obliquity,Gait Speed,0.37008741497660236,3.1961316998685497e-10
iHR V,Updrs-III,-0.3550975659093693,2.008629637450222e-07
%det ML,Updrs-III,-0.3544702847359713,1.8429216711923412e-07
Obliquity,H-Y,-0.3487708481454073,5.750468130426582e-09
Tilt,Obliquity,0.3408228486884848,7.98644160495325e-09
"Sex (M=1, F=2)",Updrs-III,-0.340144570759323,3.4033823099884955e-07
