,RF_mean_rank,RF_sd,SHAP_mean_rank,SHAP_sd,Consensus_score,Consensus_rank,Stability_sd
MSE ML,1.0,0.0,1.1,0.31622776601683794,0.10500000000000001,1.0,0.15811388300841897
Gait Speed,2.0,0.0,2.3,1.0593499054713802,0.215,2.0,0.5296749527356901
MSE V,3.4,0.8432740427115678,3.7,1.4181364924121764,0.355,3.0,1.130705267561872
Weigth,4.1,0.7378647873726218,3.6,0.6992058987801011,0.38499999999999995,4.0,0.7185353430763615
iHR V,5.1,0.9944289260117533,5.3,1.8287822299126937,0.5199999999999999,5.0,1.4116055779622234
MSE AP,5.4,0.699205898780101,6.0,1.1547005383792515,0.5700000000000001,6.0,0.9269532185796763
Age,7.2,0.4216370213557839,7.2,1.0327955589886446,0.72,7.0,0.7272162901722142
H-Y,8.7,0.674948557710553,8.6,0.9660917830792958,0.8649999999999999,8.0,0.8205201703949243
"Sex (M=1, F=2)",10.0,0.0,7.4,1.2649110640673518,0.8699999999999999,9.0,0.6324555320336759
Duration (years),8.1,0.5676462121975466,9.8,0.6324555320336759,0.8949999999999999,10.0,0.6000508721156113
